"";"Store";"StoreType";"Assortment";"CompetitionDistance";"CompetitionOpenSinceMonth";"CompetitionOpenSinceYear";"Promo2";"Promo2SinceWeek";"Promo2SinceYear";"PromoInterval";"CompetitionOpenSince";"States"
"1";1;"c";"a";1270;9;2008;0;NA;NA;"";Sep 2008;"HE"
"2";2;"a";"a";570;11;2007;1;13;2010;"Jan,Apr,Jul,Oct";Nov 2007;"TH"
"3";3;"a";"a";14130;12;2006;1;14;2011;"Jan,Apr,Jul,Oct";Dec 2006;"NW"
"4";4;"c";"c";620;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"5";5;"a";"a";29910;NA;NA;0;NA;NA;"";NA;"SN"
"6";6;"a";"a";310;12;2013;0;NA;NA;"";Dec 2013;"SN"
"7";7;"a";"c";24000;4;2013;0;NA;NA;"";Apr 2013;"SH"
"8";8;"a";"a";7520;10;2014;0;NA;NA;"";Oct 2014;"SH"
"9";9;"a";"c";2030;8;2000;0;NA;NA;"";Aug 2000;"NW"
"10";10;"a";"a";3160;9;2009;0;NA;NA;"";Sep 2009;"BE"
"11";11;"a";"c";960;11;2011;1;1;2012;"Jan,Apr,Jul,Oct";Nov 2011;"SH"
"12";12;"a";"c";1070;NA;NA;1;13;2010;"Jan,Apr,Jul,Oct";NA;"SH"
"13";13;"d";"a";310;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"14";14;"a";"a";1300;3;2014;1;40;2011;"Jan,Apr,Jul,Oct";Mar 2014;"NW"
"15";15;"d";"c";4110;3;2010;1;14;2011;"Jan,Apr,Jul,Oct";Mar 2010;"SH"
"16";16;"a";"c";3270;NA;NA;0;NA;NA;"";NA;"BW"
"17";17;"a";"a";50;12;2005;1;26;2010;"Jan,Apr,Jul,Oct";Dec 2005;"TH"
"18";18;"d";"c";13840;6;2010;1;14;2012;"Jan,Apr,Jul,Oct";Jun 2010;"TH"
"19";19;"a";"c";3240;NA;NA;1;22;2011;"Mar,Jun,Sept,Dec";NA;"NW"
"20";20;"d";"a";2340;5;2009;1;40;2014;"Jan,Apr,Jul,Oct";May 2009;"BY"
"21";21;"c";"c";550;10;1999;1;45;2009;"Jan,Apr,Jul,Oct";Oct 1999;"BW"
"22";22;"a";"a";1040;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"23";23;"d";"a";4060;8;2005;0;NA;NA;"";Aug 2005;"RP"
"24";24;"a";"c";4590;3;2000;1;40;2011;"Jan,Apr,Jul,Oct";Mar 2000;"NW"
"25";25;"c";"a";430;4;2003;0;NA;NA;"";Apr 2003;"NW"
"26";26;"d";"a";2300;NA;NA;0;NA;NA;"";NA;"TH"
"27";27;"a";"a";60;1;2005;1;5;2011;"Jan,Apr,Jul,Oct";Jan 2005;"NW"
"28";28;"a";"a";1200;10;2014;1;6;2015;"Mar,Jun,Sept,Dec";Oct 2014;"ST"
"29";29;"d";"c";2170;NA;NA;0;NA;NA;"";NA;"NW"
"30";30;"a";"a";40;2;2014;1;10;2014;"Mar,Jun,Sept,Dec";Feb 2014;"NW"
"31";31;"d";"c";9800;7;2012;0;NA;NA;"";Jul 2012;"SH"
"32";32;"a";"a";2910;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"33";33;"a";"c";1320;5;2013;0;NA;NA;"";May 2013;"NW"
"34";34;"c";"a";2240;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"35";35;"d";"c";7660;10;2000;1;1;2012;"Jan,Apr,Jul,Oct";Oct 2000;"NW"
"36";36;"a";"c";540;6;2003;1;40;2014;"Jan,Apr,Jul,Oct";Jun 2003;"BY"
"37";37;"c";"a";4230;12;2014;0;NA;NA;"";Dec 2014;"ST"
"38";38;"d";"a";1090;4;2007;0;NA;NA;"";Apr 2007;"NW"
"39";39;"a";"a";260;10;2006;1;31;2013;"Feb,May,Aug,Nov";Oct 2006;"NW"
"40";40;"a";"a";180;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"NW"
"41";41;"d";"c";1180;NA;NA;1;31;2013;"Jan,Apr,Jul,Oct";NA;"BY"
"42";42;"a";"c";290;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"43";43;"d";"a";4880;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"NW"
"44";44;"a";"a";540;6;2011;0;NA;NA;"";Jun 2011;"HB, NI"
"45";45;"d";"a";9710;2;2014;0;NA;NA;"";Feb 2014;"RP"
"46";46;"c";"a";1200;9;2005;1;14;2011;"Jan,Apr,Jul,Oct";Sep 2005;"BY"
"47";47;"a";"c";270;4;2013;1;14;2013;"Jan,Apr,Jul,Oct";Apr 2013;"HH"
"48";48;"a";"a";1060;5;2012;0;NA;NA;"";May 2012;"HH"
"49";49;"d";"c";18010;9;2007;0;NA;NA;"";Sep 2007;"BW"
"50";50;"d";"a";6260;11;2009;0;NA;NA;"";Nov 2009;"RP"
"51";51;"a";"c";10570;7;2013;1;9;2011;"Jan,Apr,Jul,Oct";Jul 2013;"BY"
"52";52;"d";"c";450;4;2014;1;39;2010;"Jan,Apr,Jul,Oct";Apr 2014;"BY"
"53";53;"a";"c";30360;9;2013;0;NA;NA;"";Sep 2013;"SH"
"54";54;"d";"c";7170;8;2014;1;5;2013;"Feb,May,Aug,Nov";Aug 2014;"ST"
"55";55;"a";"a";720;11;2004;0;NA;NA;"";Nov 2004;"SN"
"56";56;"d";"c";6620;3;2012;1;10;2014;"Mar,Jun,Sept,Dec";Mar 2012;"HE"
"57";57;"d";"c";420;6;2014;0;NA;NA;"";Jun 2014;"SN"
"58";58;"a";"c";7340;5;2008;1;27;2012;"Jan,Apr,Jul,Oct";May 2008;"BY"
"59";59;"a";"c";2840;6;2007;1;14;2011;"Jan,Apr,Jul,Oct";Jun 2007;"TH"
"60";60;"d";"c";5540;10;2009;0;NA;NA;"";Oct 2009;"SN"
"61";61;"a";"c";350;12;2007;1;1;2012;"Jan,Apr,Jul,Oct";Dec 2007;"BW"
"62";62;"a";"a";2050;NA;NA;0;NA;NA;"";NA;"NW"
"63";63;"c";"c";3700;6;2010;1;18;2010;"Feb,May,Aug,Nov";Jun 2010;"SH"
"64";64;"d";"c";22560;NA;NA;1;14;2013;"Jan,Apr,Jul,Oct";NA;"NW"
"65";65;"a";"c";13840;5;2010;1;1;2012;"Jan,Apr,Jul,Oct";May 2010;"ST"
"66";66;"d";"a";7660;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"BW"
"67";67;"a";"c";410;2;2006;0;NA;NA;"";Feb 2006;"BW"
"68";68;"a";"c";250;NA;NA;1;35;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"69";69;"c";"c";1130;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"HE"
"70";70;"c";"c";4840;NA;NA;0;NA;NA;"";NA;"BE"
"71";71;"a";"a";17500;8;2008;1;37;2009;"Mar,Jun,Sept,Dec";Aug 2008;"NW"
"72";72;"a";"a";2200;12;2009;1;13;2010;"Jan,Apr,Jul,Oct";Dec 2009;"BY"
"73";73;"a";"c";1650;9;2008;0;NA;NA;"";Sep 2008;"SH"
"74";74;"a";"a";330;NA;NA;0;NA;NA;"";NA;"NW"
"75";75;"d";"c";22440;12;2013;0;NA;NA;"";Dec 2013;"SH"
"76";76;"d";"c";19960;3;2006;0;NA;NA;"";Mar 2006;"BY"
"77";77;"d";"c";1090;8;2009;1;10;2014;"Jan,Apr,Jul,Oct";Aug 2009;"HE"
"78";78;"a";"a";3510;11;2006;1;5;2013;"Feb,May,Aug,Nov";Nov 2006;"ST"
"79";79;"a";"a";3320;NA;NA;0;NA;NA;"";NA;"BW"
"80";80;"d";"a";7910;NA;NA;0;NA;NA;"";NA;"RP"
"81";81;"a";"a";2370;3;2011;1;40;2014;"Jan,Apr,Jul,Oct";Mar 2011;"BY"
"82";82;"a";"a";22390;4;2008;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2008;"NW"
"83";83;"a";"a";2710;NA;NA;0;NA;NA;"";NA;"NW"
"84";84;"a";"c";11810;8;2014;0;NA;NA;"";Aug 2014;"NW"
"85";85;"b";"a";1870;10;2011;0;NA;NA;"";Oct 2011;"HB, NI"
"86";86;"a";"a";480;2;2005;1;31;2013;"Jan,Apr,Jul,Oct";Feb 2005;"NW"
"87";87;"a";"a";560;12;2010;0;NA;NA;"";Dec 2010;"HB, NI"
"88";88;"a";"a";10690;10;2005;0;NA;NA;"";Oct 2005;"ST"
"89";89;"a";"a";2380;7;2004;1;40;2014;"Jan,Apr,Jul,Oct";Jul 2004;"BY"
"90";90;"a";"a";330;11;2007;0;NA;NA;"";Nov 2007;"NW"
"91";91;"c";"a";2410;NA;NA;1;35;2011;"Jan,Apr,Jul,Oct";NA;"BW"
"92";92;"c";"a";240;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"NW"
"93";93;"a";"a";16690;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"94";94;"d";"c";14620;NA;NA;0;NA;NA;"";NA;"NW"
"95";95;"a";"a";1890;10;2014;0;NA;NA;"";Oct 2014;"SN"
"96";96;"a";"a";8780;2;2005;1;37;2009;"Jan,Apr,Jul,Oct";Feb 2005;"SN"
"97";97;"d";"c";8980;NA;NA;0;NA;NA;"";NA;"SN"
"98";98;"d";"c";15140;12;2006;1;1;2012;"Jan,Apr,Jul,Oct";Dec 2006;"NW"
"99";99;"c";"c";2030;11;2003;1;22;2012;"Mar,Jun,Sept,Dec";Nov 2003;"BY"
"100";100;"d";"a";17930;NA;NA;0;NA;NA;"";NA;"BY"
"101";101;"d";"c";2440;NA;NA;1;22;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"102";102;"a";"a";150;12;2007;1;10;2014;"Mar,Jun,Sept,Dec";Dec 2007;"NW"
"103";103;"d";"c";5210;NA;NA;0;NA;NA;"";NA;"HB, NI"
"104";104;"a";"a";390;6;2009;0;NA;NA;"";Jun 2009;"HB, NI"
"105";105;"a";"c";6190;NA;NA;1;23;2013;"Mar,Jun,Sept,Dec";NA;"BW"
"106";106;"a";"a";1390;8;2013;0;NA;NA;"";Aug 2013;"HB, NI"
"107";107;"a";"a";1930;9;2009;0;NA;NA;"";Sep 2009;"BE"
"108";108;"d";"c";2190;9;2003;0;NA;NA;"";Sep 2003;"BY"
"109";109;"a";"c";3300;11;2010;0;NA;NA;"";Nov 2010;"SH"
"110";110;"a";"c";46590;4;2013;0;NA;NA;"";Apr 2013;"SH"
"111";111;"d";"c";7890;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"HE"
"112";112;"a";"a";1630;9;2009;0;NA;NA;"";Sep 2009;"BE"
"113";113;"d";"c";20930;11;1999;0;NA;NA;"";Nov 1999;"BY"
"114";114;"c";"a";4510;NA;NA;1;48;2011;"Mar,Jun,Sept,Dec";NA;"TH"
"115";115;"d";"c";5740;4;2007;1;40;2014;"Jan,Apr,Jul,Oct";Apr 2007;"BY"
"116";116;"a";"a";680;4;2013;0;NA;NA;"";Apr 2013;"HB, NI"
"117";117;"a";"a";3450;9;2011;0;NA;NA;"";Sep 2011;"NW"
"118";118;"d";"c";3580;9;2012;0;NA;NA;"";Sep 2012;"SH"
"119";119;"a";"c";2100;2;2010;0;NA;NA;"";Feb 2010;"SH"
"120";120;"d";"a";2290;12;2014;1;37;2009;"Jan,Apr,Jul,Oct";Dec 2014;"HE"
"121";121;"a";"a";3570;11;2009;1;36;2013;"Mar,Jun,Sept,Dec";Nov 2009;"SN"
"122";122;"a";"c";58260;4;2013;0;NA;NA;"";Apr 2013;"SH"
"123";123;"a";"a";16760;9;2011;0;NA;NA;"";Sep 2011;"ST"
"124";124;"a";"a";1410;4;2003;0;NA;NA;"";Apr 2003;"NW"
"125";125;"a";"a";760;12;2005;0;NA;NA;"";Dec 2005;"HB, NI"
"126";126;"d";"a";3370;10;2014;1;18;2011;"Feb,May,Aug,Nov";Oct 2014;"NW"
"127";127;"d";"a";1350;12;2005;1;13;2010;"Jan,Apr,Jul,Oct";Dec 2005;"BY"
"128";128;"d";"c";2000;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"129";129;"a";"a";2460;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"BY"
"130";130;"c";"a";900;NA;NA;1;13;2010;"Jan,Apr,Jul,Oct";NA;"HE"
"131";131;"c";"a";920;NA;NA;0;NA;NA;"";NA;"NW"
"132";132;"d";"c";1040;NA;NA;1;27;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"133";133;"a";"a";270;8;2013;1;10;2014;"Mar,Jun,Sept,Dec";Aug 2013;"TH"
"134";134;"a";"a";1200;9;2008;0;NA;NA;"";Sep 2008;"HB, NI"
"135";135;"d";"a";5190;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"136";136;"a";"c";2200;12;2010;1;22;2012;"Feb,May,Aug,Nov";Dec 2010;"BY"
"137";137;"a";"a";1730;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"138";138;"a";"c";25360;10;2014;0;NA;NA;"";Oct 2014;"SN"
